person_id,call_burst_score,new_contact_ratio,txn_spike_score,structuring_flag,call_txn_proximity,social_lifestyle_flag
p_001,3.9403,0.3333,7.2225,5.0,16.0,1.0
p_002,3.031,0.3333,5.0376,5.0,12.0,1.0
p_003,3.031,0.3333,5.6164,5.0,13.0,1.0
p_004,3.9403,0.3333,5.582,4.0,9.0,1.0
p_005,1.9154,0.0714,1.6554,0.0,1440.0,0.0
p_006,1.4072,0.0,1.5792,0.0,1440.0,0.0
p_007,1.7384,0.0,1.4906,0.0,1440.0,0.0
p_008,0.7881,0.0,1.1946,0.0,1440.0,0.0
p_009,1.0945,0.0,1.3901,0.0,1440.0,0.0
p_010,2.0327,0.0769,1.4155,0.0,1440.0,0.0
p_011,0.6567,0.0,1.7334,0.0,1440.0,0.0
p_012,0.6841,0.0,1.4893,0.0,1440.0,0.0
p_013,1.1821,0.0,1.4343,0.0,1440.0,0.0
p_014,1.4925,0.1,1.247,0.0,1440.0,0.0
p_015,2.1415,0.0,1.77,0.0,1440.0,0.0
p_016,0.5185,0.0,1.5966,0.0,1440.0,0.0
p_017,0.8641,0.2,1.655,0.0,1440.0,0.0
p_018,1.3433,0.1111,1.6157,0.0,1440.0,0.0
p_019,1.4072,0.0,1.9899,0.0,1440.0,0.0
p_020,1.4072,0.1111,2.1902,0.0,1440.0,0.0
p_021,1.4366,0.0,1.5659,0.0,1440.0,0.0
p_022,1.5704,0.0909,1.3775,0.0,1440.0,0.0
p_023,1.1821,0.0,1.5796,0.0,1440.0,0.0
p_024,0.6913,0.0,1.521,0.0,1440.0,0.0
p_025,0.8756,0.0,1.8282,0.0,1440.0,0.0
p_026,0.6913,0.0,1.5977,0.0,1440.0,0.0
p_027,0.5473,0.2,1.4804,0.0,1440.0,0.0
p_028,0.9058,0.125,1.6682,0.0,1440.0,0.0
p_029,0.7726,0.0,1.6132,0.0,1440.0,0.0
p_030,0.6567,0.0,1.8055,0.0,1440.0,0.0
p_031,1.8763,0.1667,1.5108,0.0,1440.0,0.0
p_032,0.7463,0.0,1.4623,0.0,1440.0,0.0
p_033,0.7463,0.2,1.5592,0.0,1440.0,0.0
p_034,1.4276,0.0,1.8356,0.0,1440.0,0.0
p_035,0.8474,0.0,1.675,0.0,1440.0,0.0
